Timestamp,Year of Study ,Current CGPA  ,How many hours do you use your phone daily (on average)?  ,What do you use your phone for the most?  ,Do you feel your phone distracts you while studying?  ,"Do you study using your phone (YouTube, PDFs, notes)?  ",Has your phone usage ever affected your academic performance negatively?,Do you try to limit your phone usage during exams or study hours?  
5/22/2025 22:55:26,3rd,8.92,1-4 hours,"Studying (PDFs, YouTube, notes, etc.)",Yes,Yes,Yes,Yes
5/22/2025 23:01:15,3rd,7.38,more than 4 hours,Social Media,Yes,No,Yes,Yes
5/22/2025 23:02:17,3rd,8.04,more than 4 hours,"Entertainment (YouTube, gaming, OTT)",Yes,Yes,Yes,Yes
5/22/2025 23:03:24,3rd,9,1-4 hours,Social Media,No,Yes,No,No
5/22/2025 23:03:32,2nd,9.2,more than 4 hours,Social Media,Yes,Yes,Yes,Yes
5/22/2025 23:03:33,2nd,7.2,more than 4 hours,"Entertainment (YouTube, gaming, OTT)",,Yes,Not sure,Yes
5/22/2025 23:06:03,3rd,9,Less than 1 hour,"Studying (PDFs, YouTube, notes, etc.)",No,Yes,No,Yes
5/22/2025 23:07:00,3rd,8,1-4 hours,Social Media,Yes,Yes,Yes,Yes
5/22/2025 23:07:56,2nd,8,1-4 hours,"Studying (PDFs, YouTube, notes, etc.)",Yes,Yes,Not sure,Yes
5/22/2025 23:09:28,2nd,8.5,more than 4 hours,Social Media,Yes,Yes,Yes,No
5/22/2025 23:10:16,2nd,6.68,1-4 hours,Social Media,Yes,Yes,No,Yes
5/22/2025 23:13:51,3rd,9.3,Less than 1 hour,Social Media,No,Yes,No,Yes
5/22/2025 23:35:43,2nd,7,more than 4 hours,"Studying (PDFs, YouTube, notes, etc.)",Yes,Yes,No,Yes
5/23/2025 7:26:08,2nd,6.78,1-4 hours,Social Media,Yes,Yes,Not sure,Yes
5/23/2025 7:28:37,3rd,7.8,more than 4 hours,Social Media,Yes,No,Yes,Yes
5/23/2025 7:32:08,2nd,9.68,1-4 hours,Social Media,Yes,Yes,No,Yes
5/23/2025 10:03:05,2nd,8.5,1-4 hours,"Entertainment (YouTube, gaming, OTT)",Yes,Yes,Yes,Yes
5/23/2025 11:33:28,2nd,8,more than 4 hours,Social Media,No,Yes,No,Yes
5/23/2025 12:57:48,2nd,7,more than 4 hours,Social Media,Yes,Yes,Not sure,No
5/23/2025 13:01:34,1st,7,1-4 hours,"Studying (PDFs, YouTube, notes, etc.)",No,Yes,No,Yes
5/23/2025 14:31:40,2nd,9.22,1-4 hours,Social Media,Yes,Yes,No,Yes
5/23/2025 14:37:58,1st,9.6,1-4 hours,"Entertainment (YouTube, gaming, OTT)",No,No,No,No
5/23/2025 17:09:39,2nd,8.5,Less than 1 hour,"Entertainment (YouTube, gaming, OTT)",Yes,Yes,Yes,Yes
5/23/2025 17:10:43,1st,8.83,more than 4 hours,"Entertainment (YouTube, gaming, OTT)",Yes,Yes,No,Yes
5/23/2025 18:01:27,2nd,5.13,1-4 hours,"Studying (PDFs, YouTube, notes, etc.)",Yes,Yes,Not sure,Yes